+----------------------------------------------------------------------------------------------------------------------+--------+
|                                                        title                                                         | rating |
| Takumi-kun Series: Bibou no diteiru                                                                                  | 6.5    |
| Boys on the Run                                                                                                      | 6.7    |
| The Menstruating Ghost of Puncak                                                                                     | 4.2    |
| Jinx                                                                                                                 | 3.0    |
| Insidious                                                                                                            | 6.8    |
| The Mansion Directive                                                                                                | 3.9    |
| It Begins with the End                                                                                               | 5.3    |
| The Killing of Jacob Marr                                                                                            | 4.4    |
| 100 Miles to 40                                                                                                      | 6.5    |
| Burlesque Undressed                                                                                                  | 6.3    |
| 10½                                                                                                                  | 7.1    |
| A Very Short War                                                                                                     | 8.7    |
| Making Your Mark (A Year in the Life of an Entrepreneur)                                                             | 8.6    |
| Meat                                                                                                                 | 4.6    |
| Rainbows End                                                                                                         | 8.5    |
| Sex, Drugs & Religion                                                                                                | 6.5    |
| The Defiled                                                                                                          | 3.0    |
| The Annunciation                                                                                                     | 5.4    |
| Blessed and Cursed                                                                                                   | 5.2    |
| Chub Chaser                                                                                                          | 4.6    |
| Zero 2                                                                                                               | 7.6    |
| Ask Your Heart                                                                                                       | 6.1    |
| Alien vs. Ninja                                                                                                      | 4.4    |
| Rock'n'roll... Of Corse!                                                                                             | 7.9    |
| Sankaku                                                                                                              | 7.5    |
| The Guide                                                                                                            | 5.7    |
| The Holy Roller                                                                                                      | 6.0    |
| Todo lo que tú quieras                                                                                               | 6.5    |
| Bushwick                                                                                                             | 5.8    |
| Kick Off                                                                                                             | 6.8    |
| Paano na kaya                                                                                                        | 6.4    |
| WebKam                                                                                                               | 4.2    |
| Kinshasa Symphony                                                                                                    | 7.6    |
| My Ghost Story                                                                                                       | 7.2    |
| Camera, Camera                                                                                                       | 8.0    |
| Dirty Pictures                                                                                                       | 7.1    |
| Do You See Colors When You Close Your Eyes?                                                                          | 7.3    |
| Europolis - The Town of the Delta                                                                                    | 8.7    |
| Score: A Hockey Musical                                                                                              | 4.6    |
| Komeda: A Soundtrack for a Life                                                                                      | 6.5    |
| Horses                                                                                                               | 7.0    |
| Scumrun II                                                                                                           | 5.1    |
| In the Beginning There Was Light                                                                                     | 6.2    |
| Arisan Brondong                                                                                                      | 4.4    |
| Bidadari Jakarta                                                                                                     | 7.5    |
| Browncoats: Redemption                                                                                               | 5.0    |
| Driver's Ed Mutiny                                                                                                   | 8.2    |
| Jejak Darah                                                                                                          | 6.0    |
| Killer Shorts 2                                                                                                      | 7.1    |
| Love in Perth                                                                                                        | 6.0    |
| Ngebut Kawin                                                                                                         | 6.0    |
| Pappa kom hem                                                                                                        | 6.5    |
| Sganarelle, or The Imaginary Cuckold                                                                                 | 4.4    |
| Twisted Seduction                                                                                                    | 6.2    |
| Unbelehrbar                                                                                                          | 8.8    |
| Breaking News                                                                                                        | 7.2    |
| Den nya tiden                                                                                                        | 6.7    |
| The Recount of the Damages                                                                                           | 5.5    |
| Song of Tomorrow                                                                                                     | 6.3    |
| Im Haus meines Vaters sind viele Wohnungen                                                                           | 7.5    |
| With Love... from the Age of Reason                                                                                  | 5.8    |
| Traceless                                                                                                            | 6.4    |
| Seasons of a Life                                                                                                    | 5.0    |
| Susa                                                                                                                 | 6.6    |
| Suwi                                                                                                                 | 5.5    |
| The Game Must Go On                                                                                                  | 6.9    |
| All That Glitters                                                                                                    | 6.1    |
| Black Eve                                                                                                            | 2.9    |
| Eyyvah Eyvah                                                                                                         | 7.0    |
| Refrains Happen Like Revolutions in a Song                                                                           | 7.8    |
| Vakondok                                                                                                             | 8.0    |
| Chase                                                                                                                | 5.0    |
| The Last Zombi Hunter                                                                                                | 4.2    |
| Boundaries                                                                                                           | 8.8    |
| En Mutlu Oldugum Yer                                                                                                 | 4.7    |
| A Boy and His Samurai                                                                                                | 7.0    |
| What Men Talk About                                                                                                  | 7.5    |
| Donkey                                                                                                               | 4.0    |
| Jagger Gravning Syndrome: The Greatest Documentary of Our Time                                                       | 8.7    |
| Bach & Friends                                                                                                       | 8.3    |
| Deadly Closure                                                                                                       | 2.3    |
| Deranged High                                                                                                        | 8.3    |
| Devil's Bridge                                                                                                       | 4.4    |
| Hunted by Night                                                                                                      | 2.8    |
| Making of Hunt for Gollum                                                                                            | 6.9    |
| Postcard to Daddy                                                                                                    | 7.7    |
| Frog                                                                                                                 | 5.6    |
| Wistful Wilderness                                                                                                   | 6.7    |
| I Am Slave                                                                                                           | 6.7    |
| Chak Jawana                                                                                                          | 7.2    |
| Superheroes                                                                                                          | 2.7    |
| Click                                                                                                                | 3.5    |
| Hayfever                                                                                                             | 6.1    |
| Nation                                                                                                               | 6.4    |
| Locked Down                                                                                                          | 4.2    |
| Mirror, Mirror                                                                                                       | 6.2    |
| Phil Ochs: There But for Fortune                                                                                     | 7.7    |
| Phillip the Fossil                                                                                                   | 7.1    |
| Separation Anxiety                                                                                                   | 6.9    |
| C'est parti                                                                                                          | 5.7    |
| Furcht & Zittern                                                                                                     | 5.8    |
| In the Garden of Sounds                                                                                              | 7.6    |
| Love, Lust & Lies                                                                                                    | 7.3    |
| Krackoon                                                                                                             | 4.6    |
| The Black Tulip                                                                                                      | 7.1    |
| Four More Years                                                                                                      | 6.3    |
| In the Shadows                                                                                                       | 6.9    |
| * Cemetery                                                                                                           | 5.0    |
| David Wants to Fly                                                                                                   | 6.9    |
| Day of the Sparrow                                                                                                   | 6.9    |
| Lullaby                                                                                                              | 6.7    |
| Incest Death Squad 2                                                                                                 | 6.8    |
| My Valentine                                                                                                         | 5.9    |
| Non Compos Mentis                                                                                                    | 7.8    |
| Santa Claus Versus the Zombies                                                                                       | 2.7    |
| Sonny                                                                                                                | 6.1    |
| Themba                                                                                                               | 7.4    |
| 4 Black Suits                                                                                                        | 5.4    |
| The Princess of Montpensier                                                                                          | 6.5    |
| Bitter Snow                                                                                                          | 4.6    |
| The 4th Wall                                                                                                         | 7.8    |
| The Vern: A One Hit Wonder Story                                                                                     | 7.7    |
| My Sister's Kids in Jutland                                                                                          | 4.1    |
| For 80 Days                                                                                                          | 7.1    |
| Dreaming Mali                                                                                                        | 7.6    |
| Half of Oscar                                                                                                        | 5.4    |
| The Vanishing of Pato                                                                                                | 6.6    |
| No et moi                                                                                                            | 6.6    |
| Rejoice and Shout                                                                                                    | 6.2    |
| Shaapit: The Cursed                                                                                                  | 5.4    |
| Son Istasyon                                                                                                         | 6.5    |
| S.R.O.                                                                                                               | 5.2    |
| 100 Proof                                                                                                            | 8.1    |
| Happy Go Lucky                                                                                                       | 5.6    |
| Heartbeats                                                                                                           | 7.1    |
| Live Stream                                                                                                          | 6.5    |
| Inside America                                                                                                       | 7.2    |
| Paris Connections                                                                                                    | 5.3    |
| Captifs                                                                                                              | 5.2    |
| Solutions locales pour un désordre global                                                                            | 7.6    |
| Mean Parents Suck                                                                                                    | 4.1    |
| No Fun City                                                                                                          | 7.9    |
| One-Eyed Doll: A Rockumentary                                                                                        | 9.0    |
| Please Remove Your Shoes                                                                                             | 6.5    |
| Return to Dwight and Nile: The Crash of PSA Flight 182                                                               | 8.3    |
| Camp Victory, Afghanistan                                                                                            | 7.2    |
| Erie                                                                                                                 | 7.0    |
| Home by Christmas                                                                                                    | 6.9    |
| No Reason                                                                                                            | 4.3    |
| I Miss You                                                                                                           | 7.4    |
| Togetherness Supreme                                                                                                 | 8.0    |
| Kto ya?                                                                                                              | 6.3    |
| Bolo Na Tumi Amar                                                                                                    | 5.0    |
| Head Cold                                                                                                            | 6.4    |
| Büsra                                                                                                                | 5.3    |
| Esrefpasalilar                                                                                                       | 4.9    |
| Ironiya lyubvi                                                                                                       | 4.6    |
| Odnoklassniki                                                                                                        | 4.3    |
| The Voice                                                                                                            | 5.2    |
| Accidental Icon: The Real Gidget Story                                                                               | 7.8    |
| 72 Tenants of Prosperity                                                                                             | 5.7    |
| Badmaash Company                                                                                                     | 6.0    |
| Love in a Puff                                                                                                       | 7.2    |
| Here Comes Fortune                                                                                                   | 4.6    |
| Fire of Conscience                                                                                                   | 6.2    |
| Holding Hands                                                                                                        | 8.1    |
| Night of the Loup Garou                                                                                              | 6.0    |
| Paranormal Effect                                                                                                    | 3.2    |
| Echoes of the Rainbow                                                                                                | 7.4    |
| Ye Maaya Chesave                                                                                                     | 7.7    |
| In the Land of Fireworks                                                                                             | 8.2    |
| The Corridor                                                                                                         | 4.8    |
| Bushidô Sixteen                                                                                                      | 6.5    |
| Le Fear                                                                                                              | 6.2    |
| Prasthanam                                                                                                           | 8.3    |
| 8000 Miles 2: Girl Rappers                                                                                           | 5.7    |
| Shackled                                                                                                             | 3.3    |
| Sweet Little Lies                                                                                                    | 6.5    |
| The Misunderstood Epidemic: Depression                                                                               | 7.9    |
| Unitards                                                                                                             | 7.0    |
| V Tsenturiya. V poiskakh zacharovannykh sokrovishch                                                                  | 3.6    |
| The Neighbor Zombie                                                                                                  | 4.8    |
| Yuriko's Aroma                                                                                                       | 5.7    |
| Chicogrande                                                                                                          | 6.7    |
| Mirrors Facing Mirrors                                                                                               | 7.6    |
| The Weird World of Blowfly                                                                                           | 6.5    |
| Just Another Love Story                                                                                              | 6.7    |
| Amphetamine                                                                                                          | 5.5    |
| Bestezuelas                                                                                                          | 5.1    |
| Toilet                                                                                                               | 5.6    |
| Zombie Beach                                                                                                         | 5.2    |
| Caught Inside                                                                                                        | 5.3    |
| Hustlers                                                                                                             | 5.5    |
| Phelps Avenue                                                                                                        | 4.4    |
| Soi Dogs                                                                                                             | 9.2    |
| Thespians                                                                                                            | 8.4    |
| Yakuza-Busting Girls: Duel in Hell                                                                                   | 4.3    |
| Yakuza-Busting Girls: Final Death-Ride Battle                                                                        | 4.7    |
| Ben & Sam                                                                                                            | 6.3    |
| Conquering Heroes                                                                                                    | 6.1    |
| Priest of Evil                                                                                                       | 5.9    |
| Running on Empty                                                                                                     | 5.1    |
| Five Day Shelter                                                                                                     | 6.7    |
| Straight & Butch                                                                                                     | 5.0    |
| As You Are                                                                                                           | 4.3    |
| Monga                                                                                                                | 6.9    |
| The Impasse of Desire                                                                                                | 5.6    |
| Bad Batch                                                                                                            | 5.6    |
| Fucking Different São Paulo                                                                                          | 6.4    |
| Necronos                                                                                                             | 3.9    |
| The Happy Poet                                                                                                       | 6.2    |
| The Visit                                                                                                            | 8.3    |
| Toh Baat Pakki!                                                                                                      | 5.1    |
| 2 hati 1 jiwa                                                                                                        | 4.6    |
| Aakhari Decision                                                                                                     | 5.9    |
| Boss Engira Baskaran                                                                                                 | 7.3    |
| A Christmas Snow                                                                                                     | 6.1    |
| My Darling Is a Foreigner                                                                                            | 6.1    |
| Evolution of KL Drift 2                                                                                              | 4.7    |
| Goodnight Nobody                                                                                                     | 7.1    |
| Lafangey Parindey                                                                                                    | 5.2    |
| Niyang Rapik                                                                                                         | 4.3    |
| Semerah Cinta Stilleto                                                                                               | 5.0    |
| File 25                                                                                                              | 6.4    |
| L'amour fou                                                                                                          | 6.8    |
| Sergeant Keroro the Super Movie: Creation! Ultimate Keroro, Wonder Space-Time Island De Arimasu!!                    | 5.7    |
| Lost & Found                                                                                                         | 7.3    |
| Moomins and the Comet Chase                                                                                          | 6.1    |
| Rautaa rajan taa                                                                                                     | 6.1    |
| Are You for Great Sex?                                                                                               | 6.4    |
| Barbershop Punk                                                                                                      | 7.3    |
| Bollywood Dream                                                                                                      | 6.6    |
| Sword of Desperation                                                                                                 | 7.2    |
| Loft                                                                                                                 | 6.8    |
| In the Matter of Cha Jung Hee                                                                                        | 7.8    |
| Lava Kusa: The Warrior Twins                                                                                         | 6.9    |
| Shut Up & Kiss Me                                                                                                    | 4.3    |
| December                                                                                                             | 7.5    |
| Muskurake Dekh Zara                                                                                                  | 4.3    |
| Mittal V/S Mittal                                                                                                    | 4.2    |
| Keeping the Kibbutz                                                                                                  | 7.1    |
| My Trip to Al-Qaeda                                                                                                  | 7.1    |
| Sacred Earth                                                                                                         | 7.7    |
| Tell Me and I Will Forget                                                                                            | 8.3    |
| The Right to Bear Arms                                                                                               | 5.8    |
| The World According to David Liebe Hart                                                                              | 8.1    |
| Therapissed                                                                                                          | 7.6    |
| Toyland                                                                                                              | 6.4    |
| Valea Corlatului                                                                                                     | 7.6    |
| Littlerock                                                                                                           | 6.1    |
| Bastards of Utopia                                                                                                   | 7.2    |
| Execution                                                                                                            | 4.1    |
| Some Boys Do                                                                                                         | 2.3    |
| Un fueguito. La historia de César Milstein                                                                           | 8.6    |
| Beautiful Female Panther: Body Sniper                                                                                | 6.0    |
| Toscan                                                                                                               | 7.3    |
| Ateik i ayeik                                                                                                        | 7.9    |
| City of Gold - Mumbai 1982: Ek Ankahee Kahani                                                                        | 6.8    |
| Doktor od jezera hrochu                                                                                              | 3.2    |
| Kurt Josef Wagle og legenden om Fjordheksa                                                                           | 5.8    |
| LSD: Love, Sex Aur Dhokha                                                                                            | 7.1    |
| My Brothers                                                                                                          | 6.6    |
| Happy Husbands                                                                                                       | 5.7    |
| Het geheim                                                                                                           | 6.7    |
| In 200 Characters or Less                                                                                            | 7.7    |
| East-West Passage                                                                                                    | 8.2    |
| Malik Ek                                                                                                             | 6.8    |
| Napoli 24                                                                                                            | 5.4    |
| Stones in Exile                                                                                                      | 7.2    |
| Still                                                                                                                | 4.3    |
| Vinnaithaandi Varuvaayaa                                                                                             | 8.0    |
| Cornelis                                                                                                             | 6.3    |
| Ripped Memories                                                                                                      | 6.7    |
| 1040: Christianity in the New Asia                                                                                   | 8.6    |
| Table at Luigi's                                                                                                     | 7.4    |
| The Rise and Fall and Rise of Sensational                                                                            | 8.6    |
| Moral Bozuklugu ve 31                                                                                                | 5.5    |
| Night Drive                                                                                                          | 4.5    |
| Prem Kaa Game                                                                                                        | 3.4    |
| Shadowboxing                                                                                                         | 6.7    |
| Band Baaja Baaraat                                                                                                   | 7.2    |
| Halloween on 6th Street                                                                                              | 5.6    |
| Ladron                                                                                                               | 6.7    |
| The Team That Never Played                                                                                           | 7.0    |
| The Woodmans                                                                                                         | 7.0    |
| Themerson & Themerson                                                                                                | 8.3    |
| Autograph                                                                                                            | 7.4    |
| Daniel Schmid - Le chat qui pense                                                                                    | 7.6    |
| Hito no sabaku                                                                                                       | 1.0    |
| Sawako Decides                                                                                                       | 6.8    |
| Matataki                                                                                                             | 5.4    |
| New York Memories                                                                                                    | 7.8    |
| Sumo Joe                                                                                                             | 8.2    |
| The Big Sleaze                                                                                                       | 7.1    |
| Thunder Soul                                                                                                         | 7.6    |
| Vincent Wants to Sea                                                                                                 | 7.0    |
| 1 in 3                                                                                                               | 8.5    |
| A Different Path                                                                                                     | 6.2    |
| Ex                                                                                                                   | 5.7    |
| Gallants                                                                                                             | 6.5    |
| Desautorizados                                                                                                       | 5.2    |
| Do Dilon Ke Khel Mein                                                                                                | 5.5    |
| Once a Gangster                                                                                                      | 5.8    |
| Frozen                                                                                                               | 5.3    |
| Komoly dolgok                                                                                                        | 7.8    |
| Lessons of the Blood                                                                                                 | 7.9    |
| Beauty on Duty                                                                                                       | 4.5    |
| Minus One                                                                                                            | 6.6    |
| Miss You Like Crazy                                                                                                  | 5.8    |
| My Kidnapper                                                                                                         | 6.6    |
| Girl$                                                                                                                | 5.5    |
| Ngok toi                                                                                                             | 4.5    |
| Pitas                                                                                                                | 7.3    |
| Man on a Mission: Richard Garriott's Road to the Stars                                                               | 7.0    |
| The Academy                                                                                                          | 7.2    |
| The Red Shoes                                                                                                        | 7.1    |
| The Ride                                                                                                             | 7.3    |
| Todo, en fin, el silencio lo ocupaba                                                                                 | 5.2    |
| When I Rise                                                                                                          | 8.0    |
| World Peace and Other 4th Grade Achievements                                                                         | 7.6    |
| La comédie humaine                                                                                                   | 6.4    |
| Just Another Pandora's Box                                                                                           | 4.5    |
| Zaritsas: Russian Women in New York                                                                                  | 6.0    |
| Bag It                                                                                                               | 7.5    |
| Chandani: The Daughter of the Elephant Whisperer                                                                     | 6.9    |
| Chronicles of a Love Unfound                                                                                         | 6.8    |
| The Ancient Dogoo Girl: Special Movie Edition                                                                        | 5.8    |
| Rokkk                                                                                                                | 4.2    |
| The Italian                                                                                                          | 5.7    |
| Natural Demise                                                                                                       | 8.3    |
| Phoonk 2                                                                                                             | 3.1    |
| A Natale mi sposo                                                                                                    | 4.3    |
| Idiot Box                                                                                                            | 4.5    |
| Le stelle inquiete                                                                                                   | 6.2    |
| The Snow Queen                                                                                                       | 5.8    |
| Red and White II: Blood of Eagles                                                                                    | 6.8    |
| Miss Mouche                                                                                                          | 6.6    |
| Rubber                                                                                                               | 5.8    |
| Udo Proksch: Out of Control                                                                                          | 6.2    |
| Into the White Night                                                                                                 | 6.5    |
| Doraemon The Movie: Nobita's Great Battle of the Mermaid King                                                        | 6.7    |
| Fantasyland                                                                                                          | 5.5    |
| Kaptan feza                                                                                                          | 5.1    |
| Leader                                                                                                               | 8.0    |
| Mission Park                                                                                                         | 5.5    |
| Fin                                                                                                                  | 5.2    |
| The Black Gaze                                                                                                       | 7.5    |
