+----------------------------------------------------------------------------------------------------------------------+--------+
|                                                        title                                                         | rating |
| Kill Speed                                                                                                           | 3.9    |
| Wall Street: Money Never Sleeps                                                                                      | 6.2    |
| American Falls                                                                                                       | 8.8    |
| Secretariat                                                                                                          | 7.2    |
| The Warrior's Way                                                                                                    | 6.3    |
| The Photon Effect                                                                                                    | 4.5    |
| Women's Studies                                                                                                      | 5.3    |
| The Book of Eli                                                                                                      | 6.9    |
| The King of Fighters                                                                                                 | 3.0    |
| Legion                                                                                                               | 5.3    |
| The Bounty Hunter                                                                                                    | 5.6    |
| Let the Game Begin                                                                                                   | 5.2    |
| The Nutcracker: The Untold Story                                                                                     | 4.2    |
| Tamassu                                                                                                              | 6.2    |
| Just Inès                                                                                                            | 6.4    |
| Not Another B Movie                                                                                                  | 4.9    |
| For the Good of Others                                                                                               | 6.3    |
| Ghost Hoax                                                                                                           | 2.9    |
| Aaj Kal                                                                                                              | 6.4    |
| Camp Hell                                                                                                            | 3.5    |
| Beyond the Barbed Wire: An Artist View of the Holocaust                                                              | 8.0    |
| Howl                                                                                                                 | 6.7    |
| The Singularity Is Near                                                                                              | 6.5    |
| The Portal                                                                                                           | 3.6    |
| Ivory                                                                                                                | 6.5    |
| Lost Everything                                                                                                      | 4.7    |
| Repo Men                                                                                                             | 6.3    |
| One Lucky Elephant                                                                                                   | 6.5    |
| House Broken                                                                                                         | 4.7    |
| The Best Things in the World                                                                                         | 7.2    |
| Life as We Know It                                                                                                   | 6.5    |
| The Dead Matter                                                                                                      | 3.5    |
| Down and Distance                                                                                                    | 6.5    |
| Loengrins no varka kru                                                                                               | 8.3    |
| Four Stories of St. Julian                                                                                           | 4.2    |
| Spud                                                                                                                 | 6.7    |
| Small Town Saturday Night                                                                                            | 5.4    |
| Bare Knuckles                                                                                                        | 4.0    |
| Je ne vous oublierai jamais                                                                                          | 6.0    |
| The Vampires of Zanzibar                                                                                             | 6.2    |
| For Christ's Sake                                                                                                    | 5.6    |
| Cavaliers seuls                                                                                                      | 7.7    |
| The Two Deaths of Quincas Wateryell                                                                                  | 6.4    |
| Habana Eva                                                                                                           | 6.1    |
| Good Intentions                                                                                                      | 5.3    |
| Elvis & Madonna                                                                                                      | 6.4    |
| The Dead Sleep                                                                                                       | 4.6    |
| Jelly                                                                                                                | 5.3    |
| From the Midst of Pain                                                                                               | 9.3    |
| Messages Deleted                                                                                                     | 5.0    |
| See You in September                                                                                                 | 4.7    |
| Troubadours                                                                                                          | 3.7    |
| Beyond the Grave                                                                                                     | 4.3    |
| Jonah Hex                                                                                                            | 4.7    |
| Underground                                                                                                          | 6.6    |
| Krews                                                                                                                | 5.8    |
| Psychosomatika                                                                                                       | 5.8    |
| Elimination                                                                                                          | 3.3    |
| Frances: A Mother Divine                                                                                             | 8.2    |
| Hysteria                                                                                                             | 6.7    |
| Happiness Runs                                                                                                       | 4.9    |
| 10 Years Later                                                                                                       | 6.0    |
| Jerry Cotton                                                                                                         | 5.2    |
| Pusher                                                                                                               | 6.2    |
| Deadly Impact                                                                                                        | 5.2    |
| Missing Audrey                                                                                                       | 7.4    |
| Mexican Bloodbath                                                                                                    | 3.9    |
| Lights Out                                                                                                           | 6.9    |
